擄,kSimplifiedVariant,掳
擇,kSimplifiedVariant,择
擊,kSimplifiedVariant,击
擋,kSimplifiedVariant,挡
擓,kSimplifiedVariant,㧟
擔,kSimplifiedVariant,担
據,kSimplifiedVariant,据
擠,kSimplifiedVariant,挤
擣,kSimplifiedVariant,𢭏
擬,kSimplifiedVariant,拟
擯,kSimplifiedVariant,摈
擰,kSimplifiedVariant,拧
擱,kSimplifiedVariant,搁
擲,kSimplifiedVariant,掷
擴,kSimplifiedVariant,扩
擷,kSimplifiedVariant,撷
擺,kSimplifiedVariant,摆
擻,kSimplifiedVariant,擞
擼,kSimplifiedVariant,撸
擽,kSimplifiedVariant,㧰
擾,kSimplifiedVariant,扰
攄,kSimplifiedVariant,摅
攆,kSimplifiedVariant,撵
攏,kSimplifiedVariant,拢
攔,kSimplifiedVariant,拦
攖,kSimplifiedVariant,撄
攙,kSimplifiedVariant,搀
攛,kSimplifiedVariant,撺
攜,kSimplifiedVariant,携
攝,kSimplifiedVariant,摄
攢,kSimplifiedVariant,攒
攣,kSimplifiedVariant,挛
攤,kSimplifiedVariant,摊
攪,kSimplifiedVariant,搅
攬,kSimplifiedVariant,揽
敗,kSimplifiedVariant,败
敘,kSimplifiedVariant,叙
敵,kSimplifiedVariant,敌
數,kSimplifiedVariant,数
斂,kSimplifiedVariant,敛
斃,kSimplifiedVariant,毙
斅,kSimplifiedVariant,𢽾
斆,kSimplifiedVariant,敩
斕,kSimplifiedVariant,斓
斬,kSimplifiedVariant,斩
斷,kSimplifiedVariant,断
於,kSimplifiedVariant,于
時,kSimplifiedVariant,时
晉,kSimplifiedVariant,晋
晝,kSimplifiedVariant,昼
暈,kSimplifiedVariant,晕
暉,kSimplifiedVariant,晖
暘,kSimplifiedVariant,旸
暢,kSimplifiedVariant,畅
暫,kSimplifiedVariant,暂
曄,kSimplifiedVariant,晔
曆,kSimplifiedVariant,历
曇,kSimplifiedVariant,昙
曉,kSimplifiedVariant,晓
曏,kSimplifiedVariant,向
曖,kSimplifiedVariant,暧
曠,kSimplifiedVariant,旷
曥,kSimplifiedVariant,𣆐
曨,kSimplifiedVariant,昽
曬,kSimplifiedVariant,晒
書,kSimplifiedVariant,书
會,kSimplifiedVariant,会
朥,kSimplifiedVariant,𦛨
朧,kSimplifiedVariant,胧
東,kSimplifiedVariant,东
杴,kSimplifiedVariant,锨
极,kSimplifiedVariant,极
柵,kSimplifiedVariant,栅
桿,kSimplifiedVariant,杆
梔,kSimplifiedVariant,栀
梘,kSimplifiedVariant,枧
條,kSimplifiedVariant,条
梟,kSimplifiedVariant,枭
梲,kSimplifiedVariant,棁
棄,kSimplifiedVariant,弃
棖,kSimplifiedVariant,枨
棗,kSimplifiedVariant,枣
棟,kSimplifiedVariant,栋
棡,kSimplifiedVariant,㭎
棧,kSimplifiedVariant,栈
棲,kSimplifiedVariant,栖
棶,kSimplifiedVariant,梾
椏,kSimplifiedVariant,桠
椲,kSimplifiedVariant,㭏
楊,kSimplifiedVariant,杨
楓,kSimplifiedVariant,枫
楨,kSimplifiedVariant,桢
業,kSimplifiedVariant,业
極,kSimplifiedVariant,极
榪,kSimplifiedVariant,杩
榮,kSimplifiedVariant,荣
榲,kSimplifiedVariant,榅
榿,kSimplifiedVariant,桤
構,kSimplifiedVariant,构
槍,kSimplifiedVariant,枪
槤,kSimplifiedVariant,梿
槧,kSimplifiedVariant,椠
槨,kSimplifiedVariant,椁
槳,kSimplifiedVariant,桨
槶,kSimplifiedVariant,椢
槼,kSimplifiedVariant,椝
樁,kSimplifiedVariant,桩
樂,kSimplifiedVariant,乐
樅,kSimplifiedVariant,枞
樓,kSimplifiedVariant,楼
